"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Hospital Zonal Especializado Odontología y Ortodoncia “Dr. Juan Ubaldo Carrea”","","","Juan De Garay","2478","","","Olivos","Vicente López","Buenos Aires","Región Sanitaria V","4799-7504","","","","","","","","","-34.5132371","-58.4911238","1",""
"Centro Asistencial de Hilario Ascasubi","","Testeo","Ing. Urgoitti","269","","","Villarino","Villarino","Buenos Aires","Región Sanitaria I","(02928) 491055","","","","","","","","","-39.0348903","-62.6383524","0.5",""
"Instituto Municipal de Resolución Inmediata","","","Rodo","300","","Esq. Tupac Amaru","Wilde","Wilde","Buenos Aires","Región Sanitaria VI","","","","","","","","","","-34.7059827","-58.3221679","0.9",""
"Hospital Municipal de Avellaneda “Dr.\nEduardo Wilde”","","","Baradero","5808","","","Wilde","Wilde","Buenos Aires","Región Sanitaria VI","5227-7667/7624","","","","","","","","","-34.6952346","-58.3181689","0.9",""
"Hospital Zonal General de Agudos “Vírgen del Carmen”","","","Pagola","1502","","","Zárate","Zárate","Buenos Aires","Región Sanitaria V","(03487) 42-2300/3060","","","","","","","","","-34.08377249999999","-59.03408950000001","0.9",""
"A.T.T.T.A","","Testeo","Callao","339","5º","","Congreso","","CABA","","5032-6335","Lunes y Jueves de 16.30 a 20\r hs.","www.atta.org.ar","","","","","","Sin turno y con 3 horas de ayuno solamente.","-34.6051371","-58.39228819999999","0.9",""
"Ce.P.A.D - Ctera","","","Virrey Liniers","1043","","","","","CABA","","4957-6635 interno 105.","\"Lunes de 10 a 13 hs -\r\nMiércoles de 9 a 12 hs.\"","","prevencion@ctera.org.ar","","","","","Gratuito, voluntario, confidencial, sin ayuno\r\ny sin turnos.","-34.623836","-58.41378400000001","1",""
"Centro de Salud N° 13","","","Directorio","4210","","","Parque Avellaneda","","CABA","","","","","","","","","","","-34.6442956","-58.48339960000001","0.9",""
"Centro de Salud N° 38","","","Medrano","350","","","Almagro","","CABA","","4958-4783","Martes de 8 a 9.30 y de 16.30 a 18\r hs.\r\nMiércoles de 8 a 9.30 hs.","","","","","","","","-34.606676","-58.4213688","0.9",""
"Centro de Salud Nº 15","","","Humberto 1º","470","","","San Telmo","Monserrat","CABA","","","","","","","","","","","-34.6207491","-58.3724662","1",""
"Centro de Salud Nº 18","","","","","","","","","CABA","","","","","","","","","","","-34.6036844","-58.3815591","0.5",""
"Centro de Salud Nº 2","","","Terrada","5850","","","Villa Pueyrredón","","CABA","","","","","","","","","","","-34.5764837","-58.5093206","0.9",""
"Centro de Salud Nº 20","","","Ana María Janer","","","Charrúa","Bajo Flores","Soldati","CABA","","","","","","","","","","","","","","[Object]"
"Centro de Salud Nº 21","","","5","","","10","Retiro","Retiro","CABA","","","","","","","","","","","-34.582727","-58.3796344","0.7",""
"Centro de Salud Nº 22","","","Guzmán","90","","","Villa Crespo","","CABA","","","","","","","","","","","-34.5924441","-58.4490927","1",""
"Centro de Salud Nº 24","","","Pasaje L","","","Pasaje L S/ Número e/ M. Castro y Laguna","Flores","","CABA","","","","","","","","","","","-34.6438258","-58.4744465","0.7",""
"Centro de Salud Nº 33","","","Cordoba","5741","","","Palermo","Colegiales","CABA","","5197 5078/9","Horario: Lunes, Martes de 14 a 18.30, Jueves\r\nde 16 a 18.30 hs.","","","","","","","","-34.5865147","-58.44176760000001","0.9",""
"Centro de Salud Nº 35","","","Osvaldo Cruz","","","Zavaleta","Barracas","","CABA","","4301-8720","","","","","","","","","-34.6472072","-58.40153489999999","0.7",""
"Centro de Salud Nº 39","","","24 de Noviembre","1679","","","","","CABA","","4911-3576","","","","","","","","","-34.6307935","-58.40976849999999","0.9",""
"Centro de Salud Nº 40","","","Esteban Bonorino","1729","","","Bajo Flores","","CABA","","4631-4554","","","","","","","","","-34.6448108","-58.4456909","0.9",""
"Centro de Salud Nº 41","","","Ministro Brin","842","","","","","CABA","","4361-8736","","","","","","","","","-34.631226","-58.3578473","0.9",""
"Centro de Salud Nº 5","","","Av Piedrabuena","3200","","","Villa Lugano","Mataderos","CABA","","","","","","","","","","","-34.6712584","-58.4945466","0.9",""
"Centro de Salud Nº 7","","","2 De Abril de 1982","","","Montiel","Villa Lugano","Mataderos","CABA","","","","","","","","","","","-34.6593102","-58.51519459999999","0.9",""
"Centro de Salud Nº 9","","","Irala","1254","","","La Boca","Barracas","CABA","","","","","","","","","","","-34.6401014","-58.3661687","0.9",""
"Consejo del Menor y la Familia","","Testeo","Paz Soldàn","5200","","","Paternal","","CABA","","4523-2326/27/28","","","","","","","","","-34.5958612","-58.4711183","0.9",""
"Fundai","","Testeo","Uspallata","2272","","","Parque Patricios","","CABA","","4304-3332","Lunes a Viernes de 7 a 8:30 hs.","","","","","","","","-34.637679","-58.39366099999999","1",""
"Hospital A.Zubizarreta","HOSPITAL","Testeo","New York","3952","","","Villa Devoto","","CABA","","4501-0683","","","","","","","","","","","","[Object]"
"Hospital B.Rivadavia","HOSPITAL","Testeo","Avenida Las Heras","2670","","","Palermo","","CABA","","4809-2000","","","","","","","","","-34.584646","-58.4003911","0.9",""
"Hospital D.Vélez Sarfield","HOSPITAL","Testeo","Calderón de la Barca","1550","","","Liniers","","CABA","","4639-8700 al 05","","","","","","","","","-34.6252088","-58.50751160000001","0.9",""
"Hospital Donación F. Santojanni","HOSPITAL","Testeo","Pilar","950","","","Mataderos","","CABA","","4630-5500","","","","","","","","","-34.6486326","-58.5150141","1",""
"Hospital Dr. Juan P. Garrahan","HOSPITAL","Testeo","Combate de Los Pozos","","","Brasil","Constitucion","","CABA","","4308-4300; Fax: 4308 – 5325","","","","","","","","","-34.6285263","-58.3864041","0.7",""
"Hospital Dr.C.Argerich","HOSPITAL","Testeo","Pi","750","","Margal","La Boca","","CABA","","4362-5555 / 0420 / 5811","","","","","","","","","-34.627727","-58.3661423","0.9",""
"Hospital F.Muñiz","HOSPITAL","Testeo","Uspallata","2272","","","Parque Patricios","","CABA","","4304-2180, Int. 222","","","","","","","","","-34.637679","-58.39366099999999","1",""
"Hospital General de Agudos “Dr. C. Durand”","","","Díaz Vélez","5044","","","Caballito","","CABA","","4982-5555/1050 Int 270","","","","","","","","","-34.6088081","-58.4378998","0.9",""
"Hospital General de Agudos Dr. I. Pirovano","HOPITAL","Testeo","Monroe","3555","","","Belgrano","","CABA","","4542-5552","","","","","","","","","-34.5651754","-58.4709603","0.9",""
"Hospital General de Agudos Dr.T.Alvarez","HOSPITAL","Testeo","J.F. Aranguren","2701","","","Flores","","CABA","","4611-6666 / 6409","","","","","","","","","-34.6243202","-58.4694088","0.9",""
"Hospital J.A. Fernández","HOSPITAL","Testeo","Cerviño","3356","PB","","Palermo","","CABA","","4808-2626","","","","","","","","","-34.5809595","-58.406858","0.9",""
"Hospital J.A. Penna","HOSPITAL","Testeo","Pedro Chutro","3380","","","Parque Patricios","","CABA","","4911-5555/0517","","","","","","","","","-34.6429515","-58.41046069999999","0.9",""
"Hospital Pedro de Elizalde","HOSPITAL","Testeo","Montes de Oca","40","","","Constitucion","","CABA","","4307-5842 / 5843 / 5844","","","","","","","","","-34.6290461","-58.3776905","0.9",""
"Hospital Piñero","HOSPITAL","Testeo","Avenida Varela","1301","","","Flores","","CABA","","4634-3033","","","","","","","","","-38.8143627","-62.10143249999999","0.7",""
"Hospital Ramos Mejia","HOSPITAL","Testeo","Urquiza","609","","","Once","","CABA","","4931-5252","","","","","","","","","-34.6176373","-58.4093673","0.9",""
"Hospital Ricardo Gutierrez","HOSPITAL","Testeo","Bustamante","1330","","","Palermo","","CABA","","4962-9212 / 9247 / 9248","","","","","","","","","-34.5951073","-58.41267990000001","0.9",""
"Hospital Tornú","HOSPITAL","Testeo","Avenida Combatientes de Malvinas","3002","","","Chacarita-Paternal","","CABA","","4521-3600/8700/4485","","","","","","","","","-34.9970112","-61.0141077","0.7",""
"Nexo (para población gay)","","","Callao","339","5to Piso","","Centro","","CABA","","4374-4484/0-800-345-6396","De 16.30 a 20.30 hs.","","","","","","","","-34.6051371","-58.39228819999999","0.9",""
"Hospital San Juan Bautista","HOSPITAL","Testeo","Avenida Arturo Illia","200","","","Capital","","CATAMARCA","","(0383) 437660/61","","","","","","","","Servicio de Infectologia Pediatrica","-28.460858","-65.7912013","0.9",""
"Hospital Avelino Castelan","HOSPITAL","Testeo","Juan B Justo","1136","","","Resistencia","","CHACO","","","","","","","","","","","-27.4609252","-58.97729239999999","0.9",""
"Hospital Perrando","HOSPITAL","Testeo","Avenida 9 de Julio","100","","","Resistencia","","CHACO","","(0362)422396/5944/","Sin turno de Lunes a Viernes de\r 9 a 13 hs.","","","","","","","Consultorio de Diversidad Sexual.","-27.4518583","-58.9855327","0.9",""
"Hospital Regional Comodoro Rivadavia","HOSPITAL","Testeo","H. Irigoyen","950","","","Comodoro Rivadavia","","CHUBUT","","(0297)4471350/4442222","","","","","","","","","-43.2579172","-65.2993755","0.9",""
"Sec.Des.Humano y Comunitario","SUBSECRETARIA DE SALUD","","Pellegrini","625","","","Comodoro Rivadavia","","CHUBUT","","(0297)4461151/4463494","","","","","","","","","-43.2569938","-65.3095203","0.9",""
"Hospital Zonal Esquel","HOSPITAL","Testeo","25 de Mayo","110","","","Esquel","","CHUBUT","","(02945)450222","","","","","","","","","-43.2520372","-65.3078309","0.9",""
"Hospital “Andrés Isola”","HOSPITAL","Testeo","Roberto Gomez","3383","","","Puerto Madryn","","CHUBUT","","(02965)451999","","","","","","","","","-42.7588807","-65.0450273","0.7",""
"Hospital Subzonal Rawson “Santa Teresita”","HOSPITAL SUBZONAL","Testeo","Julio A Roca.","555","","","Rawson","","CHUBUT","","(02965)481819/1260","","","","","","","","","-45.8799315","-67.5252837","0.9",""
"Hospital Zonal Trelew","HOSPITAL","Testeo","28 De Julio","440","","","Trelew","","CHUBUT","","(02965)421385/7542/7543","","","","","","","","","-43.255467","-65.31108449999999","0.9",""
"Hospital Rural Cholila","HOSPITAL","Testeo","Avenida Principal S/N","S/N","","","Cushamen","","CHUBUT","","(02945)498022","","","","","","","","","-43.2934246","-65.11148179999999","0.5",""
"Hospital Rural El Hoyo","HOSPITAL","Testeo","Islas Malvinas","S/N","","","El Hoyo","","CHUBUT","","(02944)471500","","","","","","","","","-45.86866149999999","-67.5096606","0.7",""
"Hospital Subzonal El Maitén","HOSPITAL","Testeo","Patagonia","615","","","El Maiten","","CHUBUT","","(02945)495187","","","","","","","","","-43.2701501","-65.29359029999999","0.9",""
"Hospital Rural Corcovado","HOSPITAL","Testeo","P. Moreno","S/N","","","Futaleufu","","CHUBUT","","(02945)494040","","","","","","","","","-34.6745689","-58.82196639999999","0.7",""
"Hospital Rural Gaiman","HOSPITAL","Testeo","Gobernador E. Tello","1200","","","Gaiman","","CHUBUT","","(02965)491002.","","","","","","","","","-43.2345847","-65.3056111","0.9",""
"Hospital Rural Dolavon","HOSPITAL","Testeo","Raul B. Diaz","275","","","Gaiman","","CHUBUT","","(02965)492023","","","","","","","","","-43.3380309","-65.0592303","0.9",""
"Hospital Rural Lago Puelo","HOSPITAL","Testeo","Av. Islas Malvinas","","","","Lago Puelo","","CHUBUT","","499041","","","","","","","","","-45.9271614","-67.5605392","0.7",""
"Hospital Rural Tecka","HOSPITAL","Testeo","M.Moreno","","","","Languiñeo","","CHUBUT","","493040","","","","","","","","","-34.6745689","-58.82196639999999","0.7",""
"Hospital Rural Rio Senguer","HOSPITAL","Testeo","S.Juan Bosco","S/N","","","Rio Senguer","","CHUBUT","","(02945)497008/7070","","","","","","","","","-42.1725963","-70.65825749999999","0.7",""
"Hospital Rural Rio Mayo","HOSPITAL","Testeo","Sarmiento","637","","","Rio Senguer","","CHUBUT","","(02903)420022","","","","","","","","","-45.8599419","-67.4835335","0.9",""
"Hopital Rural Sarmiento","HOSPITAL","Testeo","Ing. Coronel Roca","S/N","","","Sarmiento","","CHUBUT","","(0297)3022/8199","","","","","","","","","-43.2934246","-65.11148179999999","0.5",""
"Hospital Rural Trevelin","HOSPITAL","Testeo","Sarmiento","S/N","","","Trevelin","","CHUBUT","","480118","","","","","","","","","-45.5847244","-69.0706024","0.5",""
"Hospital Dr. J.A. Ceballos","HOSPITAL","Testeo","Jerònimo del Barco","1300","","","Bell Ville","","CORDOBA","","(0353)421002","","","","","","","","","-31.4038281","-64.2179106","0.5",""
"Hospital Rawson","HOSPITAL","Testeo","Bajada Pucarà","2029","","","Capital","","CORDOBA","","(0351)4348755/56","","","","","","","","","-31.4262636","-64.1700608","0.7",""
"Aces","","","J.B. Justo","1243","","","Jesus Maria","","CORDOBA","","(03525)420407","","","","","","","","","-31.3447148","-64.1761846","0.9",""
"Centro Municipal de Salud","","","Kennedy","S/N","","","Rio Ceballos","","CORDOBA","","(03543)451087","","","","","","","","","-25.3878801","-57.4945951","0.7",""
"Hospital San antonio de Papua","HOSPITAL NUEVO","Testeo","Guardias Nacionales Esq. Rosario de Santa Fè","","","","Rio Cuarto","","CORDOBA","","(0358)4678700","","","","","","","","","-33.10928","-64.35504240000002","0.5",""
"Centro Asistencial Bº Sarmiento Nº 4","","","Rio Bermejo","S/N","","","Rio Tercero","","CORDOBA","","(03571)439262","","","","","","","","Centro de Integraciòn  Comunitaria","-31.2844303","-64.3130724","0.7",""
"Centro Asistencial Bº Escuela Nº 1","","","Diego de Rojas Esq. Leopoldo Lugones","","","","Rio Tercero","","CORDOBA","","(03571)439271","","","","","","","","","-32.1666288","-64.1221546","0.5",""
"Centro Asistencial Bº Belgrano Nº 11","","","Guillermo Marconi","1170","","","Rio Tercero","","CORDOBA","","(03571)439271","","","","","","","","","-31.4289739","-64.1524803","0.9",""
"Hospital Josefina Prieur","HOSPITAL","Testeo","Balbin","77","","","Villa Allende","","CORDOBA","","(03543)439290","","","","","","","","","-31.3132388","-64.3033324","0.9",""
"Dispensario Municipal","","","Corrientes","61","","","Villa Gnal Belgrano","","CORDOBA","","(03546)461308","","","","","","","","","-31.4196668","-64.184758","0.9",""
"Hospital Ceprocor","HOSPITAL","Testeo","Arenales","230","","","Capital","","CORDOBA","","(0351)4332401","","","","","","","","","-32.4046233","-63.26372449999999","0.9",""
"Hospital Materno Neonatal","HOSPITAL","Testeo","Avenida Cardeñosa","2900","","","Capital","","CORDOBA","","(0351)4348357","","","","","","","","","-31.42008329999999","-64.1887761","0.5",""
"Hospital de Niños","HOSPITAL","Testeo","Corrientes","643","","","Capital","","CORDOBA","","(0351)4342425","","","","","","","","","-27.4649452","-58.83400349999999","0.9",""
"Hospital Privado","HOSPITAL","Testeo","Naciones Unidas","346","","","Capital","","CORDOBA","","(0351)4688297","","","","","","","","","-31.4420503","-64.1993524","1",""
"Hospital Materno Provincial","HOSPITAL","Testeo","Pasaje Caenro","1250","","","Capital","","CORDOBA","","(0351)4348767","","","","","","","","","-31.4234851","-64.16468379999999","0.9",""
"Hospital Nacional de Clinicas","HOSPITAL","Testeo","Santa Rosa","1564","","","Capital","","CORDOBA","","(0351)4337051","","","","","","","","","-31.406401","-64.20380209999999","0.9",""
"Divisiòn de Virologia","","Testeo","Transito Caseres de Allende","421","","","Capital","","CORDOBA","","(0351)4342453","","","","","","","","","-31.3694252","-64.24147099999999","0.7",""
"Hospital Iturraspe","HOSPITAL","Testeo","Dr. Domingo Cullien","450","","","San Francisco","","CORDOBA","","(03564)421575","","","","","","","","","-31.42008329999999","-64.1887761","0.5",""
"Laboratorio Central","","Testeo","Placido Martinez","1044","","","Capital","","CORRIENTES","","(0379)474632","","","","","","","","","-27.4619153","-58.83619059999999","0.9",""
"Hospital Pediátrico","HOSPITAL","Testeo","","","","","Capital","","CORRIENTES","","475300/306","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital Vidal","HOSPITAL","Testeo","Jose R. Vidal","2020","","","Capital","","CORRIENTES","","428453/421225","","","","","","","","","-29.1713238","-58.0841943","0.9",""
"Hospital Llano","HOSPITAL","Testeo","Ayacucho","3298","","","Capital","","CORRIENTES","","420274/421345","","","","","","","","","-27.4704174","-58.81850399999999","0.9",""
"Hospital Escuela","HOSPITAL","Testeo","Rivadavia","1250","","","Capital","","CORRIENTES","","430113/420696/421361","","","","","","","","","-27.4744733","-58.83577200000001","0.9",""
"Hospital El Salvador","HOSPITAL","Testeo","Montevideo e/Sucre y Libertad","S/N","","","Bella Vista","","CORRIENTES","","(03777)451063/926","","","","","","","","","-30.0393696","-57.8182983","0.5",""
"Hospital San Vicente de Paul","HOSPITAL","Testeo","Alberdi","S/N","","","Caa Cati","","CORRIENTES","","(03781)420117","","","","","","","","","-27.486731","-58.84887519999999","0.7",""
"Hosp.Dr. J.R. Vidal Beron de Astrada","HOSPITAL","Testeo","Necochea","1050","","","Capital","","CORRIENTES","","(03781)420050","","","","","","","","","-27.4794513","-58.83897149999999","1",""
"Hospital Fernando Irastorza","HOSPITAL","Testeo","Beròn de Astrada","1302","","","Curuzù Cuatià","","CORRIENTES","","(03774)422732  fax","","","","","","","","","-29.79076939999999","-58.0506204","0.7",""
"Municipalidad de Perugorria","","","Colon y Lavalle","","","","Curuzù Cuatià","","CORRIENTES","","(03773)494081","","","","","","","","Comisaria","-29.17682079999999","-56.6399694","0.7",""
"Hospital Jaime Dávila","HOSPITAL","Testeo","Mendoza","S/N","","","Empedrado","","CORRIENTES","","491285   fax","","","","","","","","","-27.4732899","-58.8362187","0.7",""
"Hospital San Roque","HOSPITAL","Testeo","Avenida Argentina y Moreno","S/N","","","Esquina","","CORRIENTES","","(03777)422732 fax 460116","","","","","","","","","-27.4733879","-58.83507460000001","0.7",""
"Hospital Camilo Muniagurria","HOSPITAL","Testeo","","","","","Goya","","CORRIENTES","","(03777)422291","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital Zonal Goya","HOSPITAL","Testeo","Avenida Mazzanti","550","","","Goya","","CORRIENTES","","(03777)422283/422291","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital Miguel Sussini","HOSPITAL","Testeo","Avenida Lavalle","939","","Gnal Virasoro","Santo Tome","","CORRIENTES","","(03756)481225/481197","","","","","","","","","-29.1779559","-58.07452249999999","0.9",""
"Hospital Dr. Miguel Sussini","HOSPITAL","Testeo","Belgrano","1248","","","Gnal. Alvear","","CORRIENTES","","(03772)470011","","","","","","","","","-27.4721889","-58.8355414","0.9",""
"Hospital Inmaculada Concepcion","HOSPITAL","Testeo","Avenida San Martin","S/N","","","Ita Ibate","","CORRIENTES","","(03782)497000","","","","","","","","","-27.4655581","-58.84787470000001","0.7",""
"Hospital A.J. Garcia","HOSPITAL","Testeo","Benigno Garay","S/N","","","Itati","","CORRIENTES","","(03783)493323/493387","","","","","","","","","-27.2748688","-58.2470486","0.7",""
"Hospital de Colonia Liebigs","HOSPITAL","Testeo","Almirante Brown","S/N","","","Ituzaingo","","CORRIENTES","","(03758)422089","","","","","","","","","-27.4753332","-58.80899429999999","0.7",""
"Hospital Ricardo Billingurts","HOSPITAL","Testeo","Corrientes y Apipe","S/N","","","Ituzaingo","","CORRIENTES","","(03786)420105  fax","","","","","","","","","-27.530787","-56.711935","0.5",""
"Hospital San Antonio de Padua","HOSPITAL","Testeo","San Martin-Union","S/N","","","La cruz","","CORRIENTES","","(O3772)491922","","","","","","","","","-32.1974908","-64.4033776","0.7",""
"Hospital San Antonio de Papua","HOSPITAL","Testeo","San Antonio","450","","","Mburucuya","","CORRIENTES","","(03782)498087  fax","","","","","","","","","-30.7620218","-58.003288","0.9",""
"Hospital Las Mercedes","HOSPITAL","Testeo","Gobernador Virasoro","1040","","","Mercedes","","CORRIENTES","","(03773)420031 fax","","","","","","","","","-28.0434137","-56.0159117","0.7",""
"Hospital Felipe Yofre","HOSPITAL","Testeo","Sargento Cabral","S/N","","","Mercedes","","CORRIENTES","","(03773)492021  fax","","","","","","","","","-32.9910326","-60.779073","0.7",""
"Hospital de Mocoretà","HOSPITAL","Testeo","Buenos Aires","164","","","Mocoretà","","CORRIENTES","","(03775)498148","","","","","","","","","-34.60296230000001","-58.3697676","0.9",""
"Hospital Samuel W. Robinson","HOSPITAL","Testeo","Bartolome Mitre","657","","","Monte Caseros","","CORRIENTES","","(03775)422230  fax","","","","","","","","","-29.14120549999999","-59.2608596","0.9",""
"Hospital Cicconeti de Paso de la Patria","HOSPITAL","Teseo","Mendoza","555","","San Cosme","Paso de la Patria","","CORRIENTES","","(03783)494385","","","","","","","","","-27.4638128","-58.8351555","0.9",""
"Hospital San José","HOSPITAL","Testeo","Esteban Alisio","650","","","Paso de los Libres","","CORRIENTES","","(03772)424000  fax","","","","","","","","","-29.7122751","-57.0808347","0.9",""
"Hospital Maria Auxiliadora","HOSPITAL","Testeo","J. R. Vidal","S/N","","","Saladas","","CORRIENTES","","(03782)421082  fax","","","","","","","","","-27.4916905","-58.84068550000001","0.7",""
"Hospital Julio C. Rivero","HOSPITAL","Testeo","Julio C. Rivero","S/N","","","San Cosme","","CORRIENTES","","(03783)496034/421393","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital San Luis Rey","HOSPITAL","Testeo","","","","","San Luis del Palmar","","CORRIENTES","","(03783)492023","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital J. R. Vidal","HOSPITAL","Testeo","Avenida Libertador","S/N","","","San Miguel","","CORRIENTES","","(03781)483031","","","","","","","","","-29.4690355","-56.8184101","0.7",""
"Hospital San Roque","HOSPITAL","Testeo","Daniel Artaza","812","","","San Roque","","CORRIENTES","","(03777)478004","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Puesto Sanitario Maria Auxiliadora","","","Gnal Paz e/Bella Vista y Progreso","","","","Santa Ana-San Cosme","","CORRIENTES","","(03777)497066","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital J. P. Romero","HOSPITAL","Testeo","Santa Lucia- Lavalle","","","","Santa Lucia-Lavalle","","CORRIENTES","","(03777)480220  fax","","","","","","","","","-28.9855614","-59.1013908","0.5",""
"Hospital Santa Rosa","HOSPITAL","Testeo","Ruta Provincial 11","S/N","","","Santa Rosa","","CORRIENTES","","(03782)494016","","","","","","","","","-30.2463145","-57.6504233","0.7",""
"Hospital San Juan Bautista","HOSPITAL","Testeo","Patricio Bertrán","451","","","Santo Tome","","CORRIENTES","","(03756)420282  fax","","","","","","","","","-28.5483881","-56.0366709","0.7",""
"Hospital Santa Rosa","HOSPITAL","Testeo","Rosa Wetzel","S/N","","","Sauce","","CORRIENTES","","(03774)480019","","","","","","","","","-27.4692131","-58.8306349","0.5",""
"Hospital Justo J. de Urquiza","HOSPITAL","Testeo","Uncal","S/N","","","Concepción del Uruguay","Uruguay","ENTRE RIOS","","(03442)443900","","","","","","","","","-32.4673824","-58.26415869999999","0.7",""
"Hospital Felipe Heras","HOSPITAL","Testeo","Entre Ríos","135","","","Concordia","Concordia","ENTRE RIOS","","(0345)4212580","","","","","","","","","-31.4059195","-58.02087969999999","0.9",""
"Hospital Centenario","HOSPITAL","Testeo","25 de Mayo","","","Pasteur","Gualeguaychú","Gualeguaychú","ENTRE RIOS","","(03446)4278316","","","","","","","","","-33.0101729","-58.53197100000001","0.5",""
"Cruz Roja Filial Concordia","","Testeo","Entre Rios","238","","","Concordia","Concordia","ENTRE RIOS","","(0345)4213340","","","concordia@cruzroja.org.ar","","","","","","-31.4040386","-58.0204537","0.9",""
"Laboratorio Central de Epidemiologia","","Testeo","Santa Fe","250","","","Paraná","Paraná","ENTRE RIOS","","","","","","","","","","","-31.7285492","-60.5316795","0.9",""
"Hospital San Martin","HOSPITAL","Testeo","Peron","400","","","Paraná","Paraná","ENTRE RIOS","","(0343)4234545","","","","","","","","","-31.741331","-60.5234338","0.9",""
"Laboratorio Epidemiologìa \"Gota de leche\"","","","J. M . Uriburu","600","","","Capital","Formosa","FORMOSA","","","","","","","","","","","-26.1925616","-58.1674665","0.9",""
"Hospital de la Madre y el niño","HOSPITAL","Testeo","Cordoba y Paraguay Bº Don Bosco","","","","Capital","Formosa","FORMOSA","","(0370)428565","","","","","","","","","-26.1857768","-58.1755669","0.5",""
"Hospital Central","HOSPITAL","Testeo","Salta","545","","","Capital","Formosa","FORMOSA","","(0370)426021","","","","","","","","","-26.1891043","-58.1681482","0.9",""
"Centro de Salud Luis Maria Codda","","","Corrientes y 5ta.Proyectada, Bº Liborsi","","","","Capital","Formosa","FORMOSA","","","Las 24 hs","","","","","","","","-26.1857768","-58.1755669","0.5",""
"Centro de Salud Eva Peron","","","MZ 59-Solar B","","","","Capital","Formosa","FORMOSA","","","7 a 19 hs","","","","","","","","-26.1857768","-58.1755669","0.5",""
"Centro de salud Antenor Gauna","","","Manzana 36 Al lado de la Escuela nº 516","S/N","","","Capital","Formosa","FORMOSA","","","8 a 19 hs","","","","","","","","-26.1857768","-58.1755669","0.5",""
"Hospital de Alta complejidad Pte. Peron","HOSPITAL","Testeo","Avenida de Las Americas y Pantaleòn Gomez","","","","Capital","Formosa","FORMOSA","","","","","","","","","","","-26.1799727","-58.18688210000001","0.5",""
"Centro de Salud 2 de abril","","","Avenida Italia y Trinidad González","","","","2 de Abril","Formosa","FORMOSA","","","7 a 19 hs","","","","","","","","-26.1726154","-58.1951898","0.7",""
"Hospital Dr. Cruz Felipe Arnedo","HOSPITAL","Testeo","Avenida San Martin Esq. Los Andes","","","","Clorinda","Pilcomayo","FORMOSA","","(03718)422800/8","Las 24 hs.","","","","","","","","-25.2863132","-57.7204338","0.5",""
"CAPS 1º de Mayo","","","Barrio 1º de Mayo","","","","Clorinda","Pilcomayo","FORMOSA","","(03718)428918","7 a 19 hs","","","","","","","","-25.37","-57.5533157","0.7",""
"Hospital Laguna Blanca","HOSPITAL","Testeo","Aldo Bollini","","","frente Complejo de Educaciòn Nivel Medio Nº1","Laguna Blanca","Pilcomayo","FORMOSA","","(03718)470020","7 a 19 hs","","","","","","","","-25.3720594","-57.651386","0.5",""
"Hospital Ibarreta","HOSPITAL","Testeo","Mariano Moreno","115","","","Ibarreta","Patiño","FORMOSA","","(03716)432140","8 a 19 hs","","","","","","","","-25.3305802","-59.68027170000001","0.7",""
"Hospital Las Lomitas","HOSPITAL","Testeo","Avenida Entre Rios","","","y Pasaje Saavedra e/Belgrano y Saavedra","Las Lomitas","Patiño","FORMOSA","","","Las 24 hs","","","","","","","","-24.8334603","-60.02594659999999","0.5",""
"Hospital Pozo del Tigre","HOSPITAL","Testeo","Avenida Comando L.J.Fontana","","","y Pasaje Saavedra e/Belgrano y Saavedra","Pozo del Tigre","Patiño","FORMOSA","","(03715)493153","7 a 19 hs","","","","","","","","-24.8334603","-60.02594659999999","0.5",""
"Hospital Estanislao del Campo","HOSPITAL","Testeo","Dr. Laureano Maradona","","","detrás de Capilla San Roque","Estanislao del Campo","Patiño","FORMOSA","","(03716)493050","8 a 12  y 16 a 19 hs","","","","","","","","-24.8334603","-60.02594659999999","0.5",""
"Hospital Comandante Luis J.Fontana","HOSPITAL","Testeo","Marcelo de Rojas","730","","","Comandante  Fontana","Patiño","FORMOSA","","","7 a 19 hs","","","","","","","","-25.3349082","-59.6868207","0.7",""
"Hospital San Martin 2","HOSPITAL","Testeo","Hipólito Yrigoyen","S/N","","a 100 m Esc. Especial 10","Posta San Martin 2","Patiño","FORMOSA","","","7 a 19 hs","","","","","","","","-25.2155303","-59.8528627","0.7",""
"Hospital Villa General Güemes","HOSPITAL","Testeo","Misiones","","","Av J.Domingo Perón. (Atrás Col Pro Medio)","Villa General Güemes","Patiño","FORMOSA","","(03716)492032","7 a 19 hs","","","","","","","","-24.8334603","-60.02594659999999","0.5",""
