establecimiento,tipo,distribución-testeo,calle,altura,piso_depto,cruce,barrio_localidad,partido_comuna_dpto,provincia,región sanitaria,teléfono,horario atención,web,mail,unidad coordinadora,responsable,UC mail,UC web,observaciones
Hospital Materno Provincial,HOSPITAL,Testeo,Pasaje Caenro,1250,,,Capital,,CORDOBA,,(0351)4348767,,,,,,,,
Hospital Nacional de Clinicas,HOSPITAL,Testeo,Santa Rosa ,1564,,,Capital,,CORDOBA,,(0351)4337051,,,,,,,,
Divisiòn de Virologia,,Testeo,Transito Caseres de Allende,421,,,Capital,,CORDOBA,,(0351)4342453,,,,,,,,
Hospital Iturraspe,HOSPITAL,Testeo,Dr. Domingo Cullien,450,,,San Francisco,,CORDOBA,,(03564)421575,,,,,,,,
Laboratorio Central,,Testeo,Placido Martinez,1044,,,Capital,,CORRIENTES,,(0379)474632,,,,,,,,
Hospital Pediátrico,HOSPITAL,Testeo,,,,,Capital,,CORRIENTES,,475300/306,,,,,,,,
Hospital Vidal,HOSPITAL,Testeo,Jose R. Vidal,2020,,,Capital,,CORRIENTES,,428453/421225,,,,,,,,
Hospital Llano,HOSPITAL,Testeo,Ayacucho,3298,,,Capital,,CORRIENTES,,420274/421345,,,,,,,,
Hospital Escuela,HOSPITAL,Testeo    ,Rivadavia,1250,,,Capital,,CORRIENTES,,430113/420696/421361,,,,,,,,
Hospital El Salvador,HOSPITAL,Testeo,Montevideo e/Sucre y Libertad,S/N,,,Bella Vista,,CORRIENTES,,(03777)451063/926,,,,,,,,
Hospital San Vicente de Paul,HOSPITAL,Testeo,Alberdi,S/N,,,Caa Cati,,CORRIENTES,,(03781)420117,,,,,,,,
Hosp.Dr. J.R. Vidal Beron de Astrada,HOSPITAL,Testeo,Necochea ,1050,,,Capital,,CORRIENTES,,(03781)420050,,,,,,,,
Hospital Fernando Irastorza,HOSPITAL,Testeo,Beròn de Astrada,1302,,,Curuzù Cuatià,,CORRIENTES,,(03774)422732  fax,,,,,,,,
Municipalidad de Perugorria,,,Colon y Lavalle,,,,Curuzù Cuatià,,CORRIENTES,,(03773)494081 ,,,,,,,,Comisaria
Hospital Jaime Dávila,HOSPITAL,Testeo,Mendoza ,S/N,,,Empedrado,,CORRIENTES,,491285   fax,,,,,,,,
Hospital San Roque,HOSPITAL,Testeo,Avenida Argentina y Moreno,S/N,,,Esquina,,CORRIENTES,,(03777)422732 fax 460116,,,,,,,,
Hospital Camilo Muniagurria,HOSPITAL,Testeo,,,,,Goya,,CORRIENTES,,(03777)422291,,,,,,,,
Hospital Zonal Goya,HOSPITAL,Testeo,Avenida Mazzanti,550,,,Goya,,CORRIENTES,,(03777)422283/422291,,,,,,,,
Hospital Miguel Sussini,HOSPITAL,Testeo,Avenida Lavalle ,939,,Gnal Virasoro,Santo Tome,,CORRIENTES,,(03756)481225/481197,,,,,,,,
Hospital Dr. Miguel Sussini,HOSPITAL,Testeo,Belgrano,1248,,,Gnal. Alvear,,CORRIENTES,,(03772)470011,,,,,,,,
Hospital Inmaculada Concepcion,HOSPITAL,Testeo,Avenida San Martin ,S/N,,,Ita Ibate,,CORRIENTES,,(03782)497000,,,,,,,,
Hospital A.J. Garcia,HOSPITAL,Testeo    ,Benigno Garay ,S/N,,,Itati,,CORRIENTES,,(03783)493323/493387,,,,,,,,
Hospital de Colonia Liebigs,HOSPITAL,Testeo,Almirante Brown,S/N,,,Ituzaingo,,CORRIENTES,,(03758)422089,,,,,,,,
Hospital Ricardo Billingurts,HOSPITAL,Testeo,Corrientes y Apipe,S/N,,,Ituzaingo,,CORRIENTES,,(03786)420105  fax,,,,,,,,
Hospital San Antonio de Padua,HOSPITAL,Testeo,San Martin-Union,S/N,,,La cruz,,CORRIENTES,,(O3772)491922,,,,,,,,
Hospital San Antonio de Papua,HOSPITAL ,Testeo,San Antonio ,450,,,Mburucuya,,CORRIENTES,,(03782)498087  fax,,,,,,,,
Hospital Las Mercedes,HOSPITAL,Testeo,Gobernador Virasoro,1040,,,Mercedes,,CORRIENTES,,(03773)420031 fax,,,,,,,,
Hospital Felipe Yofre,HOSPITAL,Testeo,Sargento Cabral ,S/N,,,Mercedes,,CORRIENTES,,(03773)492021  fax,,,,,,,,
Hospital de Mocoretà,HOSPITAL,Testeo,Buenos Aires,164,,,Mocoretà,,CORRIENTES,,(03775)498148,,,,,,,,
Hospital Samuel W. Robinson,HOSPITAL,Testeo,Bartolome Mitre ,657,,,Monte Caseros,,CORRIENTES,,(03775)422230  fax,,,,,,,,
Hospital Cicconeti de Paso de la Patria,HOSPITAL,Teseo,Mendoza ,555,,San Cosme,Paso de la Patria,,CORRIENTES,,(03783)494385,,,,,,,,
Hospital San José,HOSPITAL,Testeo,Esteban Alisio,650,,,Paso de los Libres,,CORRIENTES,,(03772)424000  fax,,,,,,,,
Hospital Maria Auxiliadora,HOSPITAL,Testeo,J. R. Vidal,S/N,,,Saladas,,CORRIENTES,,(03782)421082  fax,,,,,,,,
Hospital Julio C. Rivero,HOSPITAL,Testeo,Julio C. Rivero ,S/N,,,San Cosme,,CORRIENTES,,(03783)496034/421393,,,,,,,,
Hospital San Luis Rey,HOSPITAL,Testeo,,,,,San Luis del Palmar,,CORRIENTES,,(03783)492023,,,,,,,,
Hospital J. R. Vidal,HOSPITAL,Testeo,Avenida Libertador,S/N,,,San Miguel,,CORRIENTES,,(03781)483031,,,,,,,,
Hospital San Roque,HOSPITAL,Testeo,Daniel Artaza,812,,,San Roque,,CORRIENTES,,(03777)478004,,,,,,,,
Puesto Sanitario Maria Auxiliadora,,,Gnal Paz e/Bella Vista y Progreso,,,,Santa Ana-San Cosme,,CORRIENTES,,(03777)497066,,,,,,,,
Hospital J. P. Romero,HOSPITAL,Testeo,Santa Lucia- Lavalle,,,,Santa Lucia-Lavalle,,CORRIENTES,,(03777)480220  fax,,,,,,,,
Hospital Santa Rosa,HOSPITAL,Testeo,Ruta Provincial 11 ,S/N,,,Santa Rosa,,CORRIENTES,,(03782)494016,,,,,,,,
Hospital San Juan Bautista,HOSPITAL,Testeo,Patricio Bertrán ,451,,,Santo Tome,,CORRIENTES,,(03756)420282  fax,,,,,,,,
Hospital Santa Rosa,HOSPITAL,Testeo,Rosa Wetzel,S/N,,,Sauce,,CORRIENTES,,(03774)480019,,,,,,,,
Hospital Justo J. de Urquiza,HOSPITAL,Testeo,Uncal,S/N,,,Concepción del Uruguay,Uruguay,ENTRE RIOS,,(03442)443900,,,,,,,,
Hospital Felipe Heras,HOSPITAL,Testeo,Entre Ríos,135,,,Concordia,Concordia,ENTRE RIOS,,(0345)4212580,,,,,,,,
Hospital Centenario ,HOSPITAL,Testeo,25 de Mayo,,,Pasteur,Gualeguaychú,Gualeguaychú,ENTRE RIOS,,(03446)4278316,,,,,,,,
Cruz Roja Filial Concordia,,Testeo,Entre Rios,238,,,Concordia,Concordia,ENTRE RIOS,,(0345)4213340,,,concordia@cruzroja.org.ar,,,,,
Laboratorio Central de Epidemiologia,,Testeo,Santa Fe ,250,,,Paraná,Paraná,ENTRE RIOS,,,,,,,,,,
Hospital San Martin,HOSPITAL,Testeo,Peron,400,,,Paraná,Paraná,ENTRE RIOS ,,(0343)4234545,,,,,,,,
"Laboratorio Epidemiologìa ""Gota de leche""",,,J. M . Uriburu,600,, ,Capital,Formosa,FORMOSA,,,,,,,,,,
Hospital de la Madre y el niño,HOSPITAL,Testeo,Cordoba y Paraguay Bº Don Bosco,,,,Capital,Formosa,FORMOSA,,(0370)428565,,,,,,,,
Hospital Central,HOSPITAL,Testeo,Salta,545,,,Capital,Formosa,FORMOSA,,(0370)426021,,,,,,,,
Centro de Salud Luis Maria Codda,,,"Corrientes y 5ta.Proyectada, Bº Liborsi",,,,Capital,Formosa,FORMOSA,,,Las 24 hs,,,,,,,
Centro de Salud Eva Peron,,,MZ 59-Solar B,,,,Capital,Formosa,FORMOSA,,,7 a 19 hs,,,,,,,
Centro de salud Antenor Gauna,,,Manzana 36 Al lado de la Escuela nº 516,S/N,,,Capital,Formosa,FORMOSA,,,8 a 19 hs,,,,,,,
Hospital de Alta complejidad Pte. Peron,HOSPITAL,Testeo,Avenida de Las Americas y Pantaleòn Gomez,,,,Capital,Formosa,FORMOSA,,,,,,,,,,
Centro de Salud 2 de abril,,,Avenida Italia y Trinidad González,,,,2 de Abril,Formosa,FORMOSA,,,7 a 19 hs,,,,,,,
Hospital Dr. Cruz Felipe Arnedo,HOSPITAL,Testeo,Avenida San Martin Esq. Los Andes,,,,Clorinda,Pilcomayo,FORMOSA,,(03718)422800/8,Las 24 hs.,,,,,,,
CAPS 1º de Mayo,,,Barrio 1º de Mayo,,,,Clorinda,Pilcomayo,FORMOSA,,(03718)428918,7 a 19 hs,,,,,,,
Hospital Laguna Blanca,HOSPITAL,Testeo,Aldo Bollini,,,frente Complejo de Educaciòn Nivel Medio Nº1,Laguna Blanca,Pilcomayo  ,FORMOSA,,(03718)470020,7 a 19 hs,,,,,,,
Hospital Ibarreta,HOSPITAL,Testeo,Mariano Moreno ,115,,,Ibarreta,Patiño,FORMOSA,,(03716)432140,8 a 19 hs,,,,,,,
Hospital Las Lomitas,HOSPITAL,Testeo,Avenida Entre Rios,,,y Pasaje Saavedra e/Belgrano y Saavedra,Las Lomitas,Patiño,FORMOSA,, , Las 24 hs,,,,,,,
Hospital Pozo del Tigre,HOSPITAL,Testeo,Avenida Comando L.J.Fontana,,,y Pasaje Saavedra e/Belgrano y Saavedra,Pozo del Tigre,Patiño,FORMOSA,,(03715)493153,7 a 19 hs,,,,,,,
Hospital Estanislao del Campo,HOSPITAL,Testeo,Dr. Laureano Maradona,,,detrás de Capilla San Roque,Estanislao del Campo,Patiño,FORMOSA,,(03716)493050,8 a 12  y 16 a 19 hs,,,,,,,
Hospital Comandante Luis J.Fontana,HOSPITAL,Testeo,Marcelo de Rojas ,730,,,Comandante  Fontana,Patiño,FORMOSA,,,7 a 19 hs,,,,,,,
Hospital San Martin 2,HOSPITAL,Testeo,Hipólito Yrigoyen,S/N,,a 100 m Esc. Especial 10,Posta San Martin 2,Patiño,FORMOSA,,,7 a 19 hs,,,,,,,
Hospital Villa General Güemes,HOSPITAL,Testeo,Misiones,,,Av J.Domingo Perón. (Atrás Col Pro Medio),Villa General Güemes,Patiño,FORMOSA,,(03716)492032,7 a 19 hs,,,,,,,
Hospital de Ingeniero Juárez,HOSPITAL,Testeo,Avenida Degen,,, y Fernando Anaquin e/Salta y Mendoza,Ingeniero Guillermo Juárez,Matacos,FORMOSA,,(03711)420337,Las 24 hs.,,,,,,,
Hospital El Potrillo,HOSPITAL,Testeo,Ppal,S/N,,,El Potrillo,Ramon Lista,FORMOSA,,(03711)420189,7 a 19 hs,,,,,,,
Hospital Laguna Yema,HOSPITAL,Testeo,Ruta Nacional 81,,,A 200 m Escuela Nº45,Laguna Yema,Bermejo,FORMOSA,,,7 a 13 hs,,,,,,,
Hospital Dr.Justo Pastor Mongelos,HOSPITAL,Testeo    ,Fontana,,,y Almirante Brown. Barrio Hospital,Villafañe,Pirané,FORMOSA,,(03717)490991/107,7 a 19 hs,,,,,,,
Hospital Colorado ,HOSPITAL, Testeo ,Santa Fe,273,,e/San Juan y Av. Larrañde,Colorado,Pirané,FORMOSA,,,6 a 12 y 16 a 20 hs,,,,,,,
Hospital Pirané,HOSPITAL,Testeo,Sarmiento,685,,e/Gral Paz y San Lorenzo,,Pirané,FORMOSA,,,Las 24 hs.,,,,,,,
Hospital Palo Santo,HOSPITAL,Testeo,Avenida 2 de Abril ,,,"e/ Av Vidal y Misiones, a 1 cuadra de la Municipalidad",Palo Santo,Pirané,FORMOSA,,,7 a 19 hs,,,,,,,
Hospital Pablo Soria,HOSPITAL,Testeo,Guemes,1345,,,,Capital,JUJUY,,(0388)4221263,,,,,,,,
Hospital San Roque,HOSPITAL,Testeo    ,San Martin ,330,,,,Capital,JUJUY,,(0388)4221302,"También en horario nocturno:
Consultorio Nocturno de Consejería y
Detección del VIH. Martes y Jueves de 21 a 22.30 hs",,,,,,,Consultorio Nocturno de consejeria y detecciòn del VIH
Hopital Nuestra Sra Del Carmen,HOSPITAL, Testeo ,Mitre,S/N,,"-24.3853438,-65.2628411",,El carmen,JUJUY,,(0388)4933106,,,,,,,,
Hospital Escolástico Zegada,HOSPITAL,Testeo,Senador Perez,s/n,,,,Fraile Pintado,JUJUY,,(03886)480041,,,,,,,,
Hospital Monterrico,HOSPITAL,Testeo,Manzana 106,,,Bº El Progreso,,Monterrico,JUJUY,,,,,,,,,,
Hospital Wenceslao Gallardo,HOSPITAL,Testeo,Avenida Río De La Plata,4612,,,,Palpalá,JUJUY,,(0388)4270523,,,,,,,,
Hospital Arturo Zabala,HOSPITAL,Testeo,L.N. Alem ,S/N,,,,Perico,JUJUY,,(0388)4911200,,,,,,,,
Hospital Lab. Central ,HOSPITAL,Testeo,Alberdi,219,,,,Capital,JUJUY,,(0388)4221308,,,,,,,,
Hospital Sequeiros,HOSPITAL,Testeo,Ecuador ,53,,,,Capital,JUJUY,,(0388)4221254,,,,,,,,
Hospital Quintana,HOSPITAL,Testeo,Irigoyen,596,,,,Capital,JUJUY,,(0388)4221288,,,,,,,,
Hospital J. Uro,HOSPITAL,Testeo,Patricias Argentinas,185,,,,La Quiaca,JUJUY,,(03885)423186,,,,,,,,
Hospital Orias,HOSPITAL,Testeo,Avenida R. Keyner,891,,,,Libertador,JUJUY,,(03886)21124,,,,,,,,
Hospital Paterson,HOSPITAL,Testeo,P. Argentina,S/N,,,,San Pedro,JUJUY,,(03884)420589,,,,,,,,
"Hospital ""Gobernador Centeno""",HOSPITAL ,Testeo,17,,,e/108 y 116,,Gal. Pico ,LA PAMPA,,(02302)436148   ,1º martes de c/mes 15 a 16 hs.,,,,,,,
Centro de Salud Barrio Aeropuerto,,Testeo,Castro,,,y Carlos Gardel,,Santa Rosa,LA PAMPA,,(02954)434566,Martes 10 a 14 hs,,,,,,,
Hospital Evita,HOSPITAL,Testeo,H. Del Carril,,,y Ferrando,,Santa Rosa,LA PAMPA,,(02954)437481,Miercoles 11 a 13 hs,,,,,,,
Centro Sanitario,,Testeo,Cnel. Gil,751,,,,Santa Rosa,LA PAMPA,,(02954)453330/01,Lunes 8 a 19  y Miercoles 12 a 13 h,,,,,,,
Hospital Lucio Molas,HOSPITAL,Testeo,Raúl B. Díaz,S/N,,,,Santa Rosa ,LA PAMPA,,(02954)455000,"Martes 18 a19, Jueves 13 a 14 hs",,,,,,,
Hospital de Toay,HOSPITAL,Testeo,San Luis,1150,,,,Toay,LA PAMPA,,(02954)492005,1º miercoles de C/mes 15 a 16 hs,,,,,,,
"CEDITET (Centro Centro de Diagnóstico y Tratamiento de
Enfermedades Transmisibles)",Diagnostico y Tratamiento,Testeo,Pelagio B. Luna,868,,,,Capital,LA RIOJA,,,Lun a Vie de 7.30 a 16 hs.,,,,,,,
C.P.S. Puerta de La Quebrada,Centro Primario de Salud,,,,,,,Capital,LA RIOJA,,,,,,,,,,
"Hospital ""Dr. Vera Barros""",HOSPITAL,Testeo,Olta,,,y 26 de Setiembre,,Capital,LA RIOJA,,"453552/3,428563,427814",,,,,,,,
Hospital Distrital Guandacol,HOSPITAL,Testeo,San Martin ,S/N,,,,Guandacol,LA RIOJA,,(03825)492060,,,,,,,,
Hospital Distrital Patquia,HOSPITAL,Testeo,9 de Julio ,S/N,,,,Patquia,LA RIOJA,,(03822)491800,,,,,,,,
Hospital Distrital Pituil,HOSPITAL ,Testeo,Santo Domingo ,S/N,,,,Pituil,LA RIOJA,,(03825)484060,,,,,,,,
Hospital Zonal Villa Union,HOSPITAL,Testeo,Arenales ,S/N,,,,Villa Union,LA RIOJA,,(03825)479207,,,,,,,,
Hospital San Nicolas,HOSPITAL,Testeo,Casimiro Godoy,S/N,,,,Aimogasta,LA RIOJA,,(03827)429004,,,,,,,,
Ex.Hospital Pte. Plaza,HOSPITAL,Testeo,Pelagio B. Luna,336,,,,Capital,LA RIOJA,,(03822)426345,,,,,,,,
Hospital E. M. Motta,HOSPITAL,Testeo,Alberto Gregorio Cavero,500,,,,Chilecito,LA RIOJA,,(03825)423895,,,,,,,,
Hospital E. Neira,HOSPITAL,Testeo,Arenales ,S/N,,,,Villa Union,LA RIOJA,,(03825)429105,,,,,,,,
Centro de Salud Nº 138 El Ceibo,,,Calle C,,,e/ 13 y 16,Bowen,Gnal. Alvear,MENDOZA,,(02625)15419412,,,,,,,,
Centro de Salud Nº 121 Bowen,,,General Alvear,,,y Pedro Pascual Segura,Bowen,Gnal Alvear,MENDOZA,,(02625)480019,,,,,,,,
Centro de Salud Nº 122 Carmensa,,,Arduino de Devoto,S/N,,,Carmensa,Gnal. Alvear,MENDOZA,,(02625)493008,,,,,,,,
Centro de Salud Nº 91 Colonia Las Rosas,,,Tabanera,S/N,,,Colonia Las Rosas,Tunuyan,MENDOZA,,,,,,,,,,
Centro de Salud Nº 94 Algarrobo,,,El Alamo,S/N,,,Cordon del Plata,Tupungato,MENDOZA,,,,,,,,,,
Centro de Salud Nº 66 El Mirador,,,San Juan ,S/N,,,,El Mirador,MENDOZA,,,,,,,,,,
Centro de Salud Nº 95 El Zampal,,,Iriarte ,S/N,,,El Zampal,Tupungato,MENDOZA,,,,,,,,,,
Centro de Salud Nº 30,,,Colon,339,,y Lavalle,,Godoy Cruz ,MENDOZA,,(0261)4220001,,,,,,,,
Centro de Salud Nº 188 La Escandinava,,,Granaderos de San Martin,,,y Bolivia,Gnal.Belgrano,Guaymallen,MENDOZA,,(O261)4262151,,,,,,,,
Centro de Salud Nº 14 Pedro Molina,,,Granaderos de San Martin,,,y Bolivia,Gnal.Belgrano,Guaymallen,MENDOZA,,(0261)4262151,,,,,,,,
Centro de Salud Nº 15 Ejército de los Andes,,,Cipolletti,750,,,Dorrego,Guaymallen,MENDOZA,,(0261)4311918,,,,,,,,
Centro de Salud Nº 62,,,Salvador González,,,e Isaac Estrella,,Junin,MENDOZA,,(02623)492244/492300,,,,,,,,
Centro de Salud Nº 198 Fermin Carrizo,,,Iriarte ,S/N,,,La Arboleda,Tupungato,MENDOZA,,,,,,,,,,
Centro de Salud Nº 101,,,Ejército de Los Andes,588,,,La Consulta,San  Carlos,MENDOZA,,(02622)470001,,,,,,,,
Centro de Salud Nº 73,,,9 de Julio ,76,,,Las Catitas,Santa Rosa,MENDOZA,,(02623)495263,,,,,,,,
Centro de Salud Nº 31 David Busana,,,Federico Serpa,,,y Repubica del Libano,,Lujan de Cuyo,MENDOZA,,(0261)4980709/4984309,,,,,,,,
Centro de Salud Nº 2 San Antonio,,,Videla Castillo,2944,,,4ta Seccion,,MENDOZA,,(0261)4306890/4376147,,,,,,,,
Centro de Medicina Preventiva Coni,,,Godoy Cruz,,,esq. España,,,MENDOZA,,(0261)4251114/4201662,,,,,,,,
Centro de Salud Nº 76 Dr. Angel Pérsico,,,Soberania Nacional ,S/N,,,Palmira,San Martin,MENDOZA,,(02623)461060,,,,,,,,
Centro de Salud Nº 17 Carlos Evans,,,Cornelio Moyano,,,y Catamarca,Panquehua,Las Heras,MENDOZA,,(0261)4487662,,,,,,,,
Centro de Salud Nº 5 Pascual Lauriente,,,Bandera de Los Andes,6280,,,Rodeo de la Cruz,Guaymallen,MENDOZA,,(0261)4910332,,,,,,,,
Centro de Salud Nº 92 San José,,,La Gloria 1768,1768,,,San José,Tupungato,MENDOZA,,,,,,,,,,
Centro de Salud Nº 171 Barrio Urquiza,,,San Lorenzo ,S/N,,,,Tunuyan,MENDOZA,,,,,,,,,,
Centro de Salud Nº 39 Ugarteche,,,Bº Cuadro Estacion,,,,Ugarteche,Lujan de Cuyo,MENDOZA,,(0261)155000990,,,,,,,,
Centro de Salud Nº 16 Villa Nueva,,,Alpatacal y Chile,,,,Villa Nueva,Guaymallen,MENDOZA,,(0261)4261018,,,,,,,,
Centro de Salud Nº 98 Dr.Juan J.Delgado,,,25 de Mayo,630,,,Vista Flores,Tunuyan,MENDOZA,,,,,,,,,,
Hospital Metraux,HOSPITAL,Testeo,España ,162,,,Fray Luis Beltran,Maipu,MENDOZA,,(0261)4921000/4921704,,,,,,,,
Hospital J. Lencinas,HOSPITAL,Testeo,Talcahuano,S/N,,,,Godoy Cruz ,MENDOZA,,(0261)272600/4272773,,,,,,,,
Hospital Enfermeros Argentinos,HOSPITAL,Testeo,Emilio Civit,S/N,,,,Gnal. Alvear,MENDOZA,,(02625)422165/422333,,,,,,,,
Hospital Pediatrico H.Notti,HOSPITAL,Testeo,Bandera de Los Andes,2600,,,,Guaymallen,MENDOZA,,(O261)4132500,,,,,,,,
Hospital Aturo Illia,HOSPITAL,Testeo,Gral Paz,2371,,e/Bella Vista y Progreso,,La Paz,MENDOZA,,(02626)421022/421079,,,,,,,,
Hospital Diego Paroissien,HOSPITAL,Testeo,Goddoy Cruz,461,,,,Maipu,MENDOZA,,(0261)4972833/4972288,,,,,,,,
Hospital Regional de Malargüe,HOSPITAL,Testeo,Avenida Gnal. Roca y Aldao,,,,,Malargüe,MENDOZA,,(02627)471048,,,,,,,,
Hospital Central,HOSPITAL,Testeo,Alem Esquina Salta,,,,,Mendoza,MENDOZA,,(0261)4490500/4490556,,,,,,,,
Hospital L. Lagomaggiore,HOSPITAL,Testeo,Timoteo Gordillo,S/N,,,,Mendoza,MENDOZA,,(0261)4259700/4259703,,,,,,,,
Hospital Saporiti,HOSPITAL,Testeo,La Madrid ,629,,,,Rivadavia,MENDOZA,,(02623)442253/442150,,,,,,,,
Hospital Tagarelli,HOSPITAL,Testeo,Las Heras,,,y B. Quiroga,,San Carlos,MENDOZA,,(02622)451166/451111,,,,,,,,
Hospital Perrupato,HOSPITAL ,Testeo,Canal Costa Montecaseros,,,y Ruta Nacional 50,,San Martín,MENDOZA,,(02623)422195/425465,,,,,,,,
Hospital Eva Peron,HOSPITAL,Testeo,Calle Republica ,S/N,,,,San Rafael,MENDOZA,,(02627)495007,,,,,,,,
Hospital T.J. Schestakow,HOSPITAL,Testeo,Cdte. Torres,150,,,,San Rafael,MENDOZA,,(02627)422580/424291,,,,,,,,
Hospital Santa Rosa,HOSPITAL,Testeo,Julio A Roca,239,,,,Santa Rosa ,MENDOZA,,(02623)497028,,,,,,,,
Hospital Scaravelli,HOSPITAL,Testeo,Uruguay,,,y Martín de Güemes,,Tunuyan,MENDOZA,,(02622)422324/422329,,,,,,,,
Hospital Gnal. Las Heras,HOSPITAL ,Testeo,Las Heras,,,y Monseñor Fernández,,Tupungato,MENDOZA,,(02622)488293,,,,,,,,
Hospital Chrabalowki,HOSPITAL,Testeo,Tupungato,,,y Aconcagua,Uspallata,Las Heras,MENDOZA,,(02624)420027,,,,,,,,
Hospital Sicoli,HOSPITAL,Testeo,Belgrano,415,,,Villa Tulumaya,Lavalle,MENDOZA,,(0261)4941049,,,,,,,,
Centro Médico Municipal,,Testeo,Libertad,720,,Detrás de la Municipalidad de Guaymallén.,Villa Nueva,Guaymallen,MENDOZA,,,Lunes a Viernes de 8 a 13 hs,    ,,,,,,"A cargo de Viviana Vasquez, Retira analisis hasta las 13 hs"
Micro Hospital Puente de Hierro,HOSPITAL,Testeo,Silvano Rodríguez,,,y Carlos Gardel,Puente de Hierro,Guaymallen,MENDOZA,,,8 a 13 hs.,,,,,,,A cargo de Juan Pablo Diaz.
Prog. Prov. SIDA- ETS,,,Salta,1833,,,,Posadas,MISIONES,,(03764)597806/07,,,prosida7752@yahoo.com.ar,,,,,Jefe de Prog. Dra. Lila Rovira
Cruz Roja Filial Posadas,,,San Martin ,2231,,,,Posadas,MISIONES,,(03752)448621,,,posadas@cruzroja.org.ar,,,,,
Ministerio de Salud Pública,,,Junín,2174,,,,Posadas,MISIONES,,,Lunes a Viernes de 6.30 a 19 hs,,,,,,,
"Centro Estudiantes Facultad Ciencias Exactas, Química y Naturales",,,Felix De Azara,1552,,,,Posadas,MISIONES,,,Lunes a Viernes de  8 a 20 hs,,,,,,,
Módulo de Farmacia y Bioquímica,,,Mariano Moreno,,,y Lopez Torres,,Posadas,MISIONES,,,Lunes a Viernes de  8 a 20 hs,,,,,,,
"Escuela Nocturna Nº1474 ""Juana Azurduy""",,,Garupá,Manzana 1 Finca 1546,,,,Villa Longa,MISIONES,,,Lunes a Jueves de 18 a 20 hs,,,,,,,
Centro Educativo Polimodal Nº 6,,,Barrio Nueva Fatima Garupá,,,,,Posadas,MISIONES,,,7.30 a 17 hs,,,,,,,
"Comedor ""La Vaquita"",ex obrador Caritas",,,Bº A-4 Etapa 7 Manzana 187,,,,,Posadas,MISIONES,,,14 a 20 hs, ,,,,,,
Centro Estudiantes Facultad.,"Humanidades,Cs.sociales",,Tucuman ,1945,,,,Posadas,MISIONES,,,Lunes a Viernes 17 a 22 hs,,,,,,,
"Secretaria Estudiantil ""Albergues""",,,Sarmiento,43,,,,Posadas,MISIONES,,,Lunes a viernes 7 a 12  y 15 a 19 hs,,,,,,,
Hospital Castro Rendón,HOSPITAL ,Testeo,Buenos Aires,425,,,,Capital,NEUQUÉN,,(0299)4437727/24831,,,,,,,,
Hospital Horacio Heller,HOSPITAL,Testeo,Godoy ,,,y Lihuèn,,Capital ,NEUQUÉN,,(0299)4490700/9,,,,,,,,
Hospital Bouquet Roldán,HOSPITAL,Testeo,Lastra,1555,,,,Capital ,NEUQUÉN,,(0299)4425105/31328,,,,,,,,
Hospital Cutral Có,HOSPITAL,Testeo,Saenz Peña,,,y Alberdi,,Cutral Có,NEUQUÉN,,(0299)4961608,,,,,,,,
Hospital Aluminé,HOSPITAL,Testeo,Lescano,,,y 4º de Caballeria,,Aluminé,NEUQUÉN,,(02942)496150,,,,,,,,
Hospital Andacollo,HOSPITAL,Testeo,Nahueve,,,y Huinganco,,Andacollo,NEUQUÉN,,(02948)494021,,,,,,,,
Hospital B. del Agrio,HOSPITAL,Testeo,25 de Mayo,S/n,,,,B. del Agrio,NEUQUÉN,,,,,,,,,,
Hospital Buta Ranquil,HOSPITAL,Testeo,Avenida Jadul,S/N,,,,Buta Ranquil,NEUQUÉN,,(02948)493000,,,,,,,,
Hospital Centenario ,HOSPITAL,Testeo,Darrieux,577,,,,Centenario ,NEUQUÉN,,(0299)4898862/1849,,,,,,,,
Hospital Chos Malal,HOSPITAL,Testeo,Estanislao Flores,650,,,,Chos Malal,NEUQUÉN,,(02948)421400,,,,,,,,
Hospital El Chocón,HOSPITAL ,Testeo,Acceso Villa el Chocòn,,,,,El Chocón,NEUQUÉN,,(0299)4901292/343,,,,,,,,
Hospital El Cholar,HOSPITAL ,Testeo    ,Gûemes,S/N,,,,El Cholar ,NEUQUÉN,,(02948)492900,,,,,,,,
Hospital El Huecu,HOSPITAL ,Testeo,Gûemes,S/N,,,,El Huecu ,NEUQUÉN,,(0294)491011,,,,,,,,
Hospital Junín de los Andes,HOSPITAL,Testeo,Ginès Ponte ,157,,,,Junín de los Andes,NEUQUÉN,,(O2972)491162/1555,,,,,,,,
Hospital Las Lajas,HOSPITAL,Testeo,Roca,269,,,,Las Lajas,NEUQUÉN,,(02942)499044/27,,,,,,,,
Hospital Las Ovejas,HOSPITAL,Testeo,Paseo Dr. Gorni,S/N,,,,Las Ovejas ,NEUQUÉN,,(02948)481103,,,,,,,,
Hospital Loncopue,HOSPITAL ,Testeo,Avenida San Martin ,S/N,,,,Loncopue,NEUQUÉN,,(02942)498038/48,,,,,,,,
Hospital Las Coloradas,HOSPITAL ,Testeo    ,Manzana 7 Lotes A.B.C y D.,,,,,,NEUQUÉN,,(02942)495026,,,,,,,,
Hospital Mariano Moreno,HOSPITAL,Testeo,Belgrano ,S/N,,,,Mariano Moreno,NEUQUÉN,,(02942)490112,,,,,,,,
Hospital Picún Leufu,HOSPITAL,Testeo,Entre Rios,S/N,,,,Picún Leufu,NEUQUÉN,,(02942)4992022,,,,,,,,
